Country,ISO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Thailand,THA,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Timor-Leste,TLS,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Togo,TGO,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Tonga,TON,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Trinidad and Tobago,TTO,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Tunisia,TUN,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Turkey,TUR,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Turkmenistan,TKM,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Tuvalu,TUV,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Uganda,UGA,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Ukraine,UKR,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
United Kingdom,GBR,1,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,1,0,0,0,0,,0,,1
United States,USA,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,0,,0,1,,0,1,1,1,,0,,1,1,1,1,1,,1,,1
Uruguay,URY,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Uzbekistan,UZB,1,1,0,1,0,1,0,1,1,1,No data,1,1,,1,,1,,1,,,,1,,1,1,,0,1,No data,0,,0,,1,0,0,1,1,,1,,1
Vanuatu,VUT,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,No data,,No data,No data,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
"Venezuela, RB",VEN,1,1,0,1,0,1,0,1,1,1,No data,1,1,,1,,1,,1,,,,1,,1,1,,0,1,No data,0,,0,,1,0,0,1,1,,1,,1
"Yemen, Rep.",YEM,1,1,0,1,0,1,0,0,1,0,1,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Zambia,ZMB,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,0,,,,1,,1,0,,0,1,1,0,,0,,0,0,0,0,0,,0,,1
Zimbabwe,ZWE,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,1,,,,1,,1,0,,0,1,0,0,,0,,0,0,0,0,0,,0,,1
